Source,Destination,Distance,Fuel Consumption,Cost
SMF,AUS,2564,11771.44,49476.79
OKC,MDW,1244,5671.32,23976.71
TPA,LGA,453,2415.99,9622.43
DSM,OAK,813,4325.82,18024.59
SJU,SNA,1618,8801.22,38019.47
CVG,RNO,1211,5964.5,22287.26
MKE,RSW,2311,11125.72,45083.28
SJC,AUS,3304,17525.33,76915.58
LIH,ELP,2898,15388.37,58573.81
SMF,MCI,321,1468.44,6235.16
BOS,TUS,2244,11353.96,42229.27
ORF,PSP,817,3749.05,14911.43
RNO,MCO,1891,8758.38,32497.77
MDW,PIT,457,2439.69,10113.7
DCA,RSW,2188,11085.51,42670.89
IAD,TPA,672,3373.4,12340.4
HNL,BDL,425,2190.0,8744.88
CVG,MCO,344,1784.44,7674.85
DTW,DEN,2200,10864.47,47538.53
LIH,ONT,1379,7195.62,27061.54
ALB,SYR,496,2259.52,9529.76
BOI,DEN,2273,10941.93,42279.71
SFO,ONT,3008,14066.99,61358.33
ROC,SYR,3285,16892.66,72097.79
DFW,BUF,450,2159.41,8995.9
PHX,ELP,1248,5839.03,24257.59
BDL,JAX,1151,5586.51,22756.76
SFO,LGA,1108,5163.06,20432.38
FLL,TPA,1964,9321.17,35766.77
SDF,OAK,2185,11059.53,47039.55
SAT,RSW,2132,10415.72,38704.55
BWI,RNO,935,4580.5,17857.71
ONT,ELP,504,2756.83,10564.5
RSW,ROC,428,2350.58,8607.06
CLT,BWI,2173,10182.18,38341.09
SDF,LAS,2868,14733.28,59495.42
DCA,OAK,2132,11309.98,47184.25
CHS,DEN,793,3985.83,16949.68
SFO,RIC,788,3992.04,16115.89
RDU,DCA,1235,5644.18,22437.4
ORF,PVD,910,4397.16,18097.19
SEA,DEN,2394,11480.81,47401.1
OAK,IAH,3168,15622.01,61126.39
ORD,MDW,1953,9264.6,38405.78
IAH,DCA,1974,9377.87,39096.8
SMF,PBI,1826,9074.72,37664.23
MSY,TUL,993,4755.77,17827.23
SEA,TPA,2614,13985.38,50914.22
MCI,ATL,1692,8284.28,33040.49
SMF,MIA,3492,17055.78,62842.19
BUR,BOS,2466,11109.59,41341.25
PBI,DEN,1512,7915.51,33572.12
RDU,IAH,3401,15340.51,65334.24
CLT,ABQ,1616,7668.91,29601.89
OKC,SEA,842,4133.56,17141.62
BDL,RIC,3091,15792.62,60839.03
TUL,BWI,2000,9626.48,38188.06
PIT,SJU,745,3642.42,13579.32
RDU,SAT,1236,6372.52,23791.51
PSP,MHT,2825,15102.81,56976.1
SAN,AUS,344,1607.02,6118.81
SAT,TUS,1710,8635.55,37116.73
PIT,SAN,1641,7606.89,29616.59
RNO,BWI,3429,18058.94,75345.71
SJC,IND,3328,15999.2,68862.51
IAD,ROC,2251,12218.83,51750.67
CLT,IAH,2740,12771.85,49094.09
LAX,SEA,1130,5522.15,21348.88
TUL,TPA,2156,10466.74,41165.27
ALB,IND,925,5085.86,20292.4
DEN,IAD,1023,5320.37,21704.67
EWR,BUF,3255,15554.28,66519.04
SAN,MHT,741,3815.69,16030.11
JAX,ALB,2603,13050.14,54233.02
SLC,OAK,1134,5796.91,21330.38
EWR,PVD,2898,13391.36,52991.62
SNA,AUS,1235,6228.24,26026.51
PVD,BUF,1764,8610.34,37293.13
SJU,JFK,987,5395.05,22827.37
SJU,PSP,1744,9335.96,38614.19
FLL,SNA,1267,5978.34,26031.79
MHT,LGA,2897,15009.81,62841.42
RDU,ROC,2537,13823.71,60070.28
RNO,MKE,2168,10105.61,40924.73
DFW,MSY,3139,14673.85,62723.78
SMF,DEN,313,1457.17,5762.18
MHT,DCA,1547,7211.35,26330.49
SFO,DCA,1185,6141.11,25401.43
PDX,RDU,2841,14909.62,54825.8
IAD,PHL,2079,10165.63,41752.91
MHT,JFK,2334,10847.76,44382.86
DFW,GSO,1160,5662.76,21064.9
SMF,FLL,3119,15730.62,63550.33
MSP,SYR,3257,17014.16,72195.57
RNO,LGA,3240,17267.45,65953.27
JFK,IAH,1532,7191.73,26751.09
RIC,SEA,1210,5824.87,24556.99
BOS,SMF,2589,13830.29,53478.34
RIC,EWR,2259,11986.37,44445.93
DAL,RNO,3280,17355.5,69327.12
DFW,JFK,3149,15196.2,65963.01
RIC,SJU,3453,16227.66,69410.43
SFO,BUF,851,4315.89,15872.93
ELP,SYR,2313,12455.99,46881.02
JFK,SEA,908,4238.13,15806.37
MCI,TUL,3362,15540.94,61905.71
DAL,CHS,3392,16076.83,61176.51
SNA,ATL,713,3209.99,13284.05
CVG,CLE,1806,8186.13,33716.93
OKC,PIT,3316,15130.24,63255.86
GRR,HOU,1338,6612.8,26702.52
MHT,RSW,412,1896.76,7861.74
LAX,JFK,1300,6763.32,29699.27
RIC,DTW,3068,14484.74,59669.77
PHL,DFW,373,1833.6,7007.91
PDX,PBI,1541,7292.5,27620.37
RIC,PIT,303,1525.21,6270.97
MIA,HOU,3452,17477.32,64860.8
SDF,TUL,2360,12358.61,52464.61
STL,CHS,1452,6757.4,25111.59
DAL,ROC,3159,16051.66,62050.5
MKE,CLT,2900,13652.11,52969.62
PIT,SJC,1633,7666.89,28495.89
SJU,LAX,2365,12936.33,48737.15
OMA,ORF,2734,14187.77,52858.72
DAL,BWI,738,3803.88,14388.5
CHS,ORF,2238,10716.94,45113.68
MSY,MIA,2187,11953.96,51882.73
ROC,DTW,2077,9360.21,39668.18
ALB,ORD,1256,5804.36,25291.84
BNA,RDU,2725,14090.17,52882.48
MCI,IAH,2799,15078.55,57473.81
CHS,CLT,2687,12732.82,54477.8
JAX,IAD,359,1723.44,6316.4
HNL,PVD,2629,13665.75,57628.16
BUF,PHX,1418,6720.52,29444.76
BUR,AUS,2717,12519.67,53752.94
STL,LGA,2808,13515.28,52203.74
DAL,BDL,1921,10178.75,40069.62
OKC,BOI,2731,14077.98,59588.31
AUS,JAX,1818,9554.46,39883.14
TUL,MSY,1797,9759.64,39884.23
SYR,BOS,2128,10236.08,44955.1
DTW,HNL,3170,14683.83,53924.43
SJU,ORF,1935,9773.01,40397.59
BUR,EWR,2445,11655.26,44121.88
ORD,IND,2903,13655.48,52089.73
SYR,IAH,2083,10298.04,40548.33
HOU,PDX,2219,11431.72,42005.58
OAK,AUS,1348,6153.55,24207.39
PIT,PHX,2991,14053.32,55300.38
BNA,MIA,1857,9115.01,35780.68
OAK,ROC,1899,9901.59,36642.9
BUR,LAS,637,3092.96,11913.09
SAT,TUS,1031,5347.2,20553.7
TPA,RDU,512,2660.88,11684.49
RSW,GRR,1042,4854.16,19907.65
SJU,TPA,2910,14507.72,58824.89
BUR,TUS,416,2022.6,8157.05
ATL,ELP,438,2382.25,10444.1
TUL,ABQ,2786,12801.23,50154.32
PVD,DCA,3256,17164.71,63235.43
MSP,IAH,424,1965.3,8300.65
ALB,SDF,2604,12697.1,47089.3
ONT,BWI,466,2158.6,8871.49
CLT,SNA,3071,15358.86,65245.8
MSY,BOI,2586,13026.0,54277.35
MSY,BUR,368,1902.17,7151.8
SJU,DAL,471,2151.63,8970.14
PDX,MIA,3175,15679.39,65030.89
TPA,DAL,368,1777.02,7776.18
LAX,PHL,1046,5013.11,18667.47
OAK,HOU,1710,8375.12,32137.74
EWR,MSP,2143,10524.89,39322.14
OMA,AUS,2870,14238.74,61212.4
SAT,SYR,473,2596.32,10120.54
RSW,GRR,1635,7773.36,31288.77
ALB,MIA,2667,12242.38,47631.2
PBI,FLL,934,4504.87,16410.7
IAH,ALB,2569,13456.24,49863.17
SDF,OMA,3172,16080.72,60690.24
TPA,ORF,2586,14084.02,53604.88
ANC,DEN,1955,9555.37,35848.46
SYR,RNO,3080,15380.32,64329.38
SJU,DCA,2352,11735.74,47497.21
DTW,IND,2947,14456.05,60245.8
PHX,LGA,1784,9650.26,35741.04
LAX,OAK,998,5264.8,21018.94
LAS,MIA,3052,16261.65,69418.74
TUS,PHX,2053,10994.4,48055.08
OGG,BUR,2014,10957.49,42828.63
BUF,PHL,1683,7617.5,32170.98
CLE,PVD,2295,11559.61,46288.85
OKC,FLL,310,1652.83,6422.74
DTW,AUS,1099,5743.92,20849.21
DFW,TUL,2427,11314.77,47695.57
PHL,LIH,2928,13700.1,51028.57
CLT,MCO,3254,16223.53,68570.62
SNA,ABQ,816,4314.0,17318.27
OAK,BUF,486,2210.42,9351.53
SLC,SJU,1229,5893.24,24422.79
JFK,ROC,2459,12246.29,52082.54
PBI,LAX,1814,8297.03,32886.34
PHL,ATL,3013,13602.54,50653.07
DEN,SJU,2769,14196.76,54301.97
BNA,HOU,952,4873.25,20407.76
RDU,BUR,2603,12298.95,47328.97
BUF,SMF,2712,13699.28,50277.96
MSY,DTW,1419,7233.47,30682.29
LIH,STL,2012,9237.59,36294.65
IND,RSW,561,2813.33,10573.01
SAT,DAL,3301,16417.22,59338.09
IAH,RDU,1085,4891.11,19746.53
SDF,JFK,2580,13910.3,54640.26
SDF,HOU,3128,16683.06,67564.86
MIA,SEA,2496,13384.64,54421.25
BOS,GRR,1774,8389.67,30365.89
TUS,ALB,1171,6371.41,23693.3
BUF,LIH,2612,13511.05,53948.03
LIH,ROC,2675,12938.77,51377.75
HOU,BUR,1080,4994.83,20238.27
DSM,LAS,1262,5735.98,23850.92
SAT,ONT,1896,10319.85,41758.65
RNO,DTW,478,2499.13,9614.3
MSP,LIH,1824,9286.38,38531.51
SNA,BNA,2651,13835.77,52898.74
GRR,CVG,1754,8791.19,35205.11
IND,ALB,2092,9522.43,39188.0
TUL,SAN,632,3474.71,14251.45
FLL,PSP,1754,8538.44,34615.13
SDF,SAT,1751,9480.78,38537.93
MHT,SEA,2584,12211.98,45064.25
SYR,IAH,973,4923.17,21408.27
CVG,SJC,654,3526.34,13298.02
MCI,DCA,1661,8943.8,39021.57
BDL,STL,2380,11416.77,44786.39
LGA,CLT,2481,13626.58,59040.27
SEA,TUS,1231,6358.51,24307.16
PHL,TUS,1530,8339.37,34624.69
HNL,DAL,1214,6319.05,26549.21
BNA,PSP,3397,18335.51,77809.67
EWR,SDF,1373,6765.78,29396.74
ATL,TPA,1664,8709.89,34011.31
FLL,HNL,2831,14430.31,58737.78
PVD,RNO,474,2468.69,9912.78
MHT,MSP,1178,6266.6,23363.58
PSP,TUL,2585,12356.96,44926.24
TPA,SDF,1847,8571.16,31307.98
GRR,MIA,2179,10976.21,45427.0
DSM,AUS,1888,9802.73,39058.69
ALB,PHL,2496,11798.89,47990.65
MCO,OMA,2914,14991.98,62075.83
ONT,OGG,847,3855.3,14619.1
AUS,MSY,3218,15511.59,62251.42
TUL,SNA,2539,11529.2,49301.04
ANC,LGA,972,4379.47,16133.52
PHX,ATL,3317,18218.65,70861.39
TPA,DFW,3376,16210.81,64762.21
SMF,BUF,975,5082.73,19926.96
TPA,ELP,2925,14734.78,61056.2
ORD,CVG,1471,7315.99,26828.81
ONT,BUF,3169,15113.61,61570.64
LGA,MCO,3079,14971.11,59017.9
SEA,CLT,372,1804.17,6916.94
LGA,MHT,581,2777.36,11139.47
CLE,PVD,1602,8645.23,33849.51
ANC,RNO,849,3932.76,16085.54
EWR,ATL,3092,16549.71,71391.39
ELP,SNA,1408,6746.54,25860.2
SEA,SJC,1694,9160.44,37250.13
RDU,SNA,2768,14769.18,63235.62
IAH,LAS,2429,12491.92,47588.54
PVD,SMF,1137,5297.16,22066.51
LIH,CLE,774,3715.15,15236.3
LGA,RSW,1150,5922.06,21346.62
EWR,OGG,1432,7094.37,26464.52
ABQ,MCI,358,1671.41,7066.55
CHS,SJU,444,2112.18,7679.01
PVD,SLC,2700,13335.09,52664.07
SNA,BNA,887,4871.64,20177.58
RDU,SFO,3292,16760.47,62653.66
BUR,SFO,364,1839.17,7433.19
DFW,ANC,1480,7591.64,28992.53
SFO,RDU,3367,15782.41,61810.19
JAX,HOU,556,2731.42,11133.34
ROC,EWR,3142,17101.76,65525.39
IAH,DTW,2345,11594.61,45646.19
OGG,BUF,2613,12314.28,45259.33
OMA,BUF,2472,13362.78,50296.12
MIA,ELP,2466,12342.9,51474.16
RNO,DCA,1969,9494.76,36920.11
CLE,LAS,2679,14391.94,53939.81
SNA,HNL,1180,6437.47,27357.88
EWR,IAH,1472,7220.28,30111.36
DSM,MDW,782,4232.63,17669.56
PHX,HOU,1477,7488.5,31815.05
ROC,TUS,773,3658.57,13603.92
MSP,CLE,857,4221.91,18132.16
CLT,MDW,1559,8257.33,30693.36
CLE,DSM,923,4320.05,18652.64
HOU,OKC,1836,8800.23,36224.11
OMA,LGA,1988,10489.56,38795.56
LAX,EWR,510,2780.64,12140.94
HNL,SJC,1643,7588.24,28172.53
FLL,BOS,639,3420.22,13819.52
MIA,SNA,2233,10236.04,38908.85
MCO,SJU,384,1758.92,7691.54
IAH,ORF,2153,11212.85,41665.39
RDU,JAX,1389,6322.55,26949.62
JFK,CLT,2067,9785.23,39163.41
IAD,ELP,2705,14226.5,60990.07
LAS,ORD,1241,6005.94,22538.78
BUF,RSW,1953,9965.12,38169.89
BUF,SFO,429,2331.59,8826.12
LIH,GRR,3232,15748.74,59138.84
ANC,PHL,1473,6766.29,28808.58
SEA,IAD,318,1593.66,6049.91
IAD,ANC,2575,12927.55,53435.21
BWI,CVG,2475,11456.08,42733.82
OKC,AUS,3191,14500.61,57327.2
CHS,SLC,1365,7239.38,28696.17
ROC,AUS,626,3156.06,13515.51
ALB,SYR,1657,8373.71,31194.55
GSO,HOU,2030,10156.35,44427.73
BNA,PHL,1084,5895.06,21673.84
FLL,LAX,2844,13782.02,54575.62
IND,ANC,1976,9476.31,40596.92
BNA,SDF,2376,11371.86,41017.3
SJC,CVG,1173,5496.62,23969.37
JAX,ALB,1909,9932.72,42761.67
RDU,PBI,1985,10862.06,41971.15
DCA,MSY,413,1890.7,7684.31
AUS,CLE,1544,7405.1,26968.7
HOU,EWR,1037,5348.2,21822.96
SEA,CVG,2209,11810.17,44714.74
PBI,PHL,879,4058.93,17194.42
PVD,TUL,929,4511.04,17846.64
CLE,LAS,2960,15560.18,56951.88
MKE,BNA,2623,12306.79,45414.54
MCO,ELP,899,4332.43,17532.95
SFO,PBI,3228,16238.81,60287.22
BWI,ALB,1055,5192.72,19374.35
IAD,JAX,3499,17468.74,75908.79
RDU,SMF,717,3256.8,11997.18
ANC,MSP,3343,17768.02,65272.51
RIC,MSP,2993,16202.64,66561.27
PIT,JFK,2727,13343.49,57348.99
EWR,SAT,2322,11774.18,42864.76
DAL,SFO,3417,17488.76,63718.4
PHL,LAS,2288,11397.28,42645.33
HOU,SYR,361,1629.23,6397.04
ORF,ANC,2026,9579.25,37501.7
ORF,JAX,1936,9280.21,38491.31
PIT,PVD,889,4408.72,16628.04
PIT,LIH,557,2840.06,11112.03
ABQ,MHT,2243,12185.37,45718.72
SEA,TUL,3017,13583.33,51474.49
BUR,MKE,905,4554.2,19386.61
PHX,GSO,1968,10034.8,42453.03
SYR,LGA,1461,7147.02,27013.3
JAX,ONT,2188,11702.64,46231.13
SJC,GRR,426,2307.44,9117.43
SDF,BWI,3218,15783.01,63103.53
SLC,ALB,2566,12936.35,53621.3
MKE,MSY,1112,5455.55,20761.9
HNL,BOI,1343,7035.27,28282.17
LAS,GSO,2293,11724.14,51172.12
SAT,MSP,669,3089.31,12226.3
MCO,SJU,1785,8126.84,31704.21
TPA,LAX,1387,6747.19,24945.71
BWI,BOS,2946,15794.15,64969.52
MCO,PDX,832,4308.6,18273.02
EWR,SFO,3255,17011.91,74393.51
MIA,PDX,2959,15696.3,58828.96
DCA,DAL,673,3490.3,13191.16
RNO,BUF,1733,9063.59,33255.32
DAL,BDL,1414,7530.77,31677.42
ORF,SAN,3412,16241.15,60505.32
JAX,CHS,585,2633.45,9541.92
CLT,MIA,3383,17125.24,70023.07
OGG,CHS,1643,7568.19,28373.67
PSP,PVD,422,2029.43,8596.48
BNA,ANC,455,2425.02,9822.2
MDW,RIC,921,4442.81,18192.23
BDL,HOU,1333,6143.16,22929.31
MIA,SAN,938,4501.3,18957.02
BUR,CLT,852,4224.35,15444.05
IND,AUS,1888,9275.02,35368.35
MCI,DAL,526,2378.86,9169.7
ABQ,PHL,463,2484.32,9512.27
FLL,DCA,1288,6718.71,26152.03
DAL,MKE,3308,17832.36,78355.02
IAH,JFK,379,1972.17,7885.57
PBI,BNA,2231,12182.55,44222.68
SMF,RNO,1806,9410.4,38848.75
ABQ,GSO,1379,6425.4,24444.58
MCO,MCI,1292,5871.02,21826.19
ORD,ONT,1608,8739.65,37161.22
ORD,ABQ,2165,9754.01,40186.12
PVD,IND,1399,6836.4,26114.16
RDU,SLC,355,1744.66,6447.62
LGA,RIC,2600,11891.41,45889.58
STL,ELP,2671,12090.37,44046.35
HOU,CVG,570,3106.85,12220.14
LAS,SEA,2832,13147.83,47415.05
MSY,BWI,1798,9263.17,35191.79
GSO,STL,2046,9576.08,35323.78
GSO,JFK,2664,14346.46,56421.9
GSO,ORD,1911,8770.23,37656.34
PVD,MCI,1707,9311.82,36894.71
OGG,MSP,2733,13156.5,54621.44
OKC,LIH,3120,16000.95,68333.87
SMF,STL,2419,11060.32,42096.11
SAN,RSW,715,3905.18,16406.29
RNO,OKC,2570,11988.5,50953.23
MSP,JFK,3282,16980.98,65283.9
SEA,SDF,667,3298.25,12996.88
SDF,SYR,1883,10102.24,39940.19
PBI,IAH,1488,8096.24,29906.14
ALB,MSP,3362,16896.46,73883.52
SMF,BDL,2342,10766.25,40762.32
GRR,LAS,2499,13149.47,56646.09
LGA,BUR,2819,12779.11,50300.15
SYR,MCI,1507,7955.61,30353.35
BOI,BOS,1110,5525.86,22544.43
DEN,MIA,866,4213.67,17573.33
SAN,MCO,2231,12022.0,44418.03
GSO,BOI,3409,17041.85,71609.78
JAX,LIH,3478,16134.89,62601.19
PDX,RDU,2083,11058.62,41950.23
ANC,SYR,2306,10451.8,39705.64
CLE,DCA,1991,9144.91,37307.75
MIA,TPA,1396,7502.78,31377.38
CLT,EWR,555,3051.05,13352.82
DFW,PSP,3215,14563.93,52459.51
SNA,IAD,763,4152.27,15386.32
BUF,TPA,1696,9092.96,36214.13
DFW,JAX,1448,7347.52,29647.33
PBI,RDU,376,1992.52,8488.79
BOS,HOU,2785,14686.83,54786.55
ROC,ORF,1909,8624.87,32089.69
ORF,STL,370,1747.28,7439.51
RDU,FLL,3460,17946.35,75065.9
LAS,CLT,492,2390.84,9335.93
LIH,PSP,2027,10404.81,38935.18
PIT,PDX,1132,5493.92,21681.34
SYR,ORD,451,2305.22,8516.86
BUR,PHX,3043,15562.54,64135.8
MCI,MSP,2621,13940.22,56223.24
MCO,MDW,1344,7254.55,31272.1
IAH,DFW,2421,11595.35,46376.85
CHS,ORD,1913,9479.13,40974.19
PBI,BOI,3060,16562.65,66115.3
AUS,PHL,403,2018.54,7501.17
STL,PHX,541,2608.4,10283.8
SJC,DEN,3025,15488.89,67611.07
MIA,CLE,3284,15188.44,58535.58
SJC,OAK,2818,13214.29,55326.61
LIH,SJC,1477,8074.71,35275.53
SAN,CHS,1620,8364.41,35417.57
SMF,RNO,3459,16632.39,65930.19
IAD,ABQ,2102,9677.92,37803.23
MSY,MCO,1202,5858.93,22525.65
DSM,JFK,504,2385.86,9154.52
BNA,OGG,1967,10430.42,40155.52
BUF,LIH,2450,11605.42,47813.28
OAK,JFK,1443,7391.17,29295.8
PHL,SAN,810,4238.23,18461.51
SYR,PDX,3010,15244.33,55576.11
BUF,ABQ,621,2875.97,11207.27
CLE,AUS,2640,12009.27,48336.67
SEA,TUS,336,1807.79,6542.99
CLE,BOI,2311,12113.63,48228.08
PHL,HOU,3215,14719.24,56351.87
LGA,TPA,2076,11244.59,46491.89
HNL,SMF,1489,7250.06,28557.49
OAK,MSP,2332,10772.56,47228.98
RNO,OMA,1395,7393.06,30824.01
DEN,RDU,544,2781.76,10367.63
GSO,ELP,1336,6983.34,26491.09
CLE,MKE,724,3832.55,16470.55
DFW,SAN,3164,15383.7,58545.69
LAS,PBI,1935,10124.99,42608.44
DAL,GSO,3453,18761.58,80818.82
LGA,MCO,3317,15473.84,67477.92
EWR,DFW,2979,13723.61,56700.46
SYR,PSP,3030,16555.93,71157.81
CLT,SAT,3263,17693.44,74445.16
EWR,LGA,1491,7460.68,30994.5
BUF,OAK,3088,14710.92,59534.23
OGG,LIH,816,3851.51,16340.33
BWI,MDW,3465,17893.68,68860.03
ALB,PHL,2723,12289.71,52398.44
SYR,ABQ,1245,6488.68,27485.61
CHS,DAL,1474,6952.24,29084.89
LAS,SNA,3421,16592.18,63521.0
SAT,ORD,782,3900.13,16600.11
CLE,RIC,3282,16811.89,64723.86
LAS,DCA,967,4963.77,21376.41
OGG,ORD,1988,10662.11,43224.11
SJC,BUR,2472,12653.79,54718.26
PVD,DAL,1483,7956.97,30117.48
ORD,OAK,1040,5368.17,19934.24
IAH,DSM,1474,6894.42,26306.11
DTW,DAL,913,4468.89,18319.26
RSW,CHS,3238,16636.3,63295.87
SAN,DAL,2077,9711.2,41814.46
MCI,MSY,1514,6862.4,25497.2
GSO,SLC,2077,10005.55,37718.78
STL,GRR,2758,13549.19,52028.9
CVG,GSO,3007,16404.72,64057.52
IAH,BOS,887,4216.65,16562.51
ALB,PHL,2380,11578.5,43370.87
LAS,PHL,1876,9162.76,40196.14
GRR,ALB,2757,13304.05,51410.28
TUL,JAX,1911,8712.52,35810.3
MSY,PHL,2385,11258.44,42164.03
PBI,BDL,968,4864.06,19010.53
PVD,MCI,1256,6509.22,26890.73
CHS,ALB,1392,6743.27,24599.97
BOI,ATL,2606,12362.38,51973.32
MSP,PHL,757,4111.21,14970.18
BUR,GRR,3030,15296.15,58056.78
ATL,BOI,2694,13816.59,55482.82
PIT,MIA,1093,5618.89,23306.23
MCI,HOU,2740,14952.58,59016.5
BNA,MSP,1880,9765.79,40219.11
MKE,RIC,862,4647.64,17165.02
JAX,CLT,2899,14332.32,53416.17
TUL,TUS,1704,8960.71,38840.37
MCI,DFW,1020,5071.08,18716.03
MSP,CLE,442,2410.91,10164.68
OMA,PDX,1576,7554.03,27886.85
AUS,MDW,1744,9492.43,38564.17
PVD,STL,2838,13883.71,56624.48
MSP,BOS,1754,8775.22,36867.51
SDF,RIC,1669,9069.5,38618.28
SFO,BNA,714,3623.26,15847.27
CVG,BNA,2956,14421.0,59372.52
BUF,DSM,408,2023.6,7293.68
SMF,HOU,647,3234.86,12193.72
BWI,OGG,1588,8713.23,35441.66
PHX,JAX,2530,13904.67,59871.65
SFO,JFK,3364,17546.36,68331.28
BOI,SAN,990,4921.54,18637.36
BDL,DTW,1101,5111.93,21566.96
SNA,BDL,1408,7281.22,27215.69
MSY,DAL,699,3835.76,14105.63
PHX,STL,2339,11656.85,46363.13
ANC,OKC,1449,6846.91,29818.31
MCO,DTW,2000,10904.7,43626.63
BUF,GSO,1839,9365.6,37696.5
TUL,BOI,2363,11441.65,50083.27
MSY,OGG,3286,14915.62,56599.21
SAT,TPA,398,1874.72,7146.43
BUF,JAX,3254,17455.69,66526.68
PBI,RSW,345,1680.28,7074.61
SDF,ELP,2123,10377.92,43419.09
BOS,SLC,2759,13887.69,50622.42
SJU,OAK,1754,8626.53,34518.04
STL,DTW,2676,14608.29,63562.99
DCA,JFK,1882,8739.23,36009.62
SFO,RSW,1663,8309.99,31636.74
LGA,CHS,1072,5055.66,19040.84
BDL,LIH,1191,5763.37,24266.07
TPA,SEA,2394,10980.42,40548.56
GRR,PHL,2888,15232.74,56506.62
DFW,IAH,518,2771.49,11165.31
STL,MIA,2860,14663.68,63296.99
LIH,OGG,1782,9455.65,39982.78
ATL,OMA,2111,10323.25,41437.51
OKC,MDW,2583,13491.56,59128.41
MIA,SAT,635,3281.35,13872.09
FLL,SJC,3385,15301.12,60610.92
MSP,SAN,934,4473.1,17987.35
SJC,TUS,789,4172.7,16240.59
OAK,ELP,3467,15837.94,66989.34
MDW,GSO,2082,11220.9,40418.19
GRR,BUF,1858,9803.34,41286.9
TPA,BUF,361,1935.14,7067.76
JAX,PDX,1004,4876.89,19048.15
DEN,ROC,2544,13177.69,56472.36
SFO,ANC,3467,16306.81,66447.42
OMA,BWI,2938,15425.29,59942.49
HOU,ABQ,1942,10620.8,41575.85
SAT,MIA,2049,10708.26,46716.67
DTW,SYR,1641,8207.65,35952.82
BNA,ATL,2733,13255.37,55272.07
RIC,IAH,381,1818.88,7318.13
DTW,SEA,1162,5491.9,20854.49
MCI,CLE,3461,15716.7,66169.93
SAT,SEA,2900,15303.73,58846.89
PHL,DCA,1590,8000.68,34931.79
SAN,SNA,3185,15560.46,68175.08
MDW,ORD,1561,8404.83,31860.2
BOI,RSW,3093,16760.93,63074.52
IND,DCA,1177,6050.68,25872.71
SFO,MDW,3175,14976.49,58578.09
MCI,SDF,672,3428.25,13542.02
MCO,DCA,3301,17614.34,71383.89
RDU,PSP,2473,12452.74,53833.42
DTW,OKC,1970,9020.7,39649.26
DEN,DCA,3158,16468.9,67904.1
IAH,MKE,1687,8055.1,34101.65
JAX,BDL,2082,10080.38,43355.27
MSP,RNO,468,2450.97,10765.6
BUR,ANC,2703,14103.28,61307.96
LAS,SEA,1280,6690.25,24240.09
OAK,CLT,2939,13816.71,56216.86
CLT,SNA,1601,8726.48,37263.98
DFW,TPA,826,4228.99,15483.15
SJU,MSP,632,3232.45,13325.63
BDL,SAN,3003,14658.81,61019.93
ELP,BUF,853,4214.19,17633.46
SEA,LGA,3267,17843.49,65076.42
MKE,CLT,1436,6771.71,24620.43
ABQ,PHX,1717,8605.02,37193.96
BOI,BUF,2500,12141.29,45099.46
MCI,PHL,1687,9065.55,36679.03
PIT,MCO,1975,10705.01,46175.75
BUF,ANC,800,3999.54,15620.66
BUF,PVD,1400,7640.01,29242.98
BOS,MDW,2598,14224.68,60263.92
ORF,TUL,414,2237.2,8333.0
OMA,OGG,807,3680.3,15748.1
PVD,MCO,1919,10358.32,45542.55
RSW,AUS,2205,11430.77,46399.14
CLE,RNO,2378,11176.12,46685.14
DEN,LGA,896,4326.13,15577.96
ELP,GSO,2898,15868.74,69234.24
TPA,BNA,2694,13545.92,49739.94
ELP,MCI,1322,6607.96,26157.34
ORF,TUL,2447,11372.59,48088.32
CLT,SLC,453,2223.16,8659.07
TUL,SFO,3353,17293.41,67847.46
RSW,ROC,1985,9313.04,35136.07
HOU,OGG,553,2896.4,10909.51
FLL,RIC,867,3921.13,16807.08
RDU,OMA,3037,15740.64,64415.87
BOS,JFK,3210,14771.94,53249.73
PDX,STL,1094,5555.56,21031.48
BOS,MCI,2248,11509.19,42557.78
LAS,HNL,1905,9957.84,38031.33
DEN,GRR,3223,15979.01,57864.12
CLT,BNA,1823,9448.78,41318.45
LGA,ATL,1268,6832.96,25657.82
RIC,SAT,726,3952.6,17155.43
DTW,SAN,474,2460.54,10666.53
RDU,SDF,2688,12968.54,54547.55
CLE,PBI,1551,8043.67,31250.02
PHX,CLE,3317,17764.5,66885.23
TUS,MCI,1802,8820.43,35987.97
SAT,MIA,1016,5255.42,20119.06
CHS,DFW,2846,13991.89,53541.43
DEN,SFO,3111,16942.03,61990.58
OKC,LAS,827,4183.33,15233.15
LGA,HOU,902,4275.75,15422.75
BNA,GSO,2649,14264.74,58066.37
BUR,OAK,2752,12423.63,54074.43
AUS,RDU,2926,15934.77,60505.77
IAD,DCA,1334,7238.56,29497.64
PHX,LAX,2021,10622.56,46407.37
JAX,SFO,1245,5839.8,23632.67
SJU,CLE,3193,17196.31,69640.9
TUL,ANC,2837,13755.18,58729.55
TUS,DSM,3259,16116.47,60517.87
PHL,MHT,2837,14767.75,61766.54
EWR,DFW,1959,10373.18,40998.93
OKC,SLC,2035,10778.01,40165.58
RNO,SEA,1990,10575.47,43463.35
MHT,LAX,311,1510.32,5545.33
CLE,EWR,1513,7825.44,29175.34
IAH,FLL,2552,13034.55,51872.02
